title,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,video,vote_average,vote_count
You Can Live Forever,https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,the new york times,"subject: movies;creative_works: you can live forever (movie);persons: slutsky, mark;persons: watts, sarah (film director);persons: odriscoll, anwen;persons: laporte, june (actor);",2023-05-04t11:00:08+0000,294,‘you can live forever’ review: do you love me now?,none,none,you can live forever,none,none,none,by elisabeth vincentelli,none,false,/sclvkm8c6a1dspzmwkkjk8pnfdx.jpg,none,0,"[{'id': 18, 'name': 'drama'}, {'id': 10749, 'name': 'romance'}]",https://gooddeedentertainment.com/you-can-live-forever/,887580,tt15782570,en,you can live forever,"when jaime, a gay teenager, is sent to live in a community of jehovah's witnesses in small-town quebec, she falls madly in love with a devout witness girl. the two embark on an intense affair with consequences that will reshape the rest of their lives.",5.877,/10mjurrspfdqms2ap3fueohj0ch.jpg,"[{'id': 63971, 'logo_path': none, 'name': 'prospector films', 'origin_country': ''}, {'id': 49937, 'logo_path': '/j14jwtsjj6ok9ikufewx7acufku.png', 'name': 'good deed entertainment', 'origin_country': 'us'}]","[{'iso_3166_1': 'ca', 'name': 'canada'}, {'iso_3166_1': 'us', 'name': 'united states of america'}]",2023-03-24,15055,96,"[{'english_name': 'english', 'iso_639_1': 'en', 'name': 'english'}, {'english_name': 'french', 'iso_639_1': 'fr', 'name': 'français'}]",released,,false,6.793,29
One True Loves,https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"a film adaptation of taylor jenkins reid’s novel has potential for drama, but it stumbles on stock melodrama.",the new york times,"subject: movies;persons: bracey, luke (1989- );persons: liu, simu;persons: reid, taylor jenkins;persons: soo, phillipa;persons: fickman, andy;creative_works: one true loves (movie);",2023-04-13t11:00:06+0000,320,‘one true loves’ review: a romance lost at sea,none,none,one true loves,none,none,none,by brandon yu,none,false,/omkxkjj0iehzoc9cbowk2lrmhsk.jpg,none,0,"[{'id': 10749, 'name': 'romance'}, {'id': 18, 'name': 'drama'}, {'id': 35, 'name': 'comedy'}]",,846961,tt14770620,en,one true loves,"emma and jesse are living the perfect life together, until jesse disappears in a tragic helicopter crash on their first wedding anniversary. four years later, emma has found happiness again and is about to marry her best friend when jesse resurfaces, turning her world upside down and leaving her torn between two great loves.",16.152,/6mf3jvizkluuijw9rvdknqpt8kc.jpg,"[{'id': 168294, 'logo_path': '/ho9hmqiauvsevjhbudtrsxwforu.png', 'name': 'volition media partners', 'origin_country': 'us'}, {'id': 147011, 'logo_path': none, 'name': 'gosdom entertainment', 'origin_country': 'us'}, {'id': 2623, 'logo_path': '/7bkm1yuf0y8x6jw8dhrfzs3b6dq.png', 'name': 'blue rider pictures', 'origin_country': 'us'}, {'id': 179981, 'logo_path': '/vbi6qgac9s3bilq5oa7juyrf59n.png', 'name': 'thomasville pictures', 'origin_country': 'us'}, {'id': 170420, 'logo_path': '/83zmnr0m7rnof4c1nxepv8lcskl.png', 'name': 'squareone productions', 'origin_country': 'de'}, {'id': 5698, 'logo_path': '/megyugxybl2x0ujlnvaawswvzvt.png', 'name': 'oops doughnuts productions', 'origin_country': 'us'}, {'id': 193458, 'logo_path': none, 'name': 'storybook entertainment', 'origin_country': 'us'}, {'id': 80626, 'logo_path': '/zdrndnkhm4pulpg5lg7m0narbdh.png', 'name': 'el ride productions', 'origin_country': 'us'}, {'id': 193459, 'logo_path': none, 'name': 'i think productions', 'origin_country': ''}, {'id': 117761, 'logo_path': '/4aa24ase2lr6wesrolvq0vini8t.png', 'name': 'streamline global', 'origin_country': 'us'}, {'id': 76991, 'logo_path': '/pqjdvbv4y9yuidshdehc9ijjkas.png', 'name': 'highland film group', 'origin_country': 'us'}, {'id': 194918, 'logo_path': '/pzsc9zzbrjhabes0gh8n2dgtczk.png', 'name': 'r.u. robot studios', 'origin_country': ''}, {'id': 125401, 'logo_path': '/zqk2m6vgqaovykcgwhkepqf3gee.png', 'name': 'buzzfeed studios', 'origin_country': 'us'}]","[{'iso_3166_1': 'de', 'name': 'germany'}, {'iso_3166_1': 'us', 'name': 'united states of america'}]",2023-04-07,37820,100,"[{'english_name': 'english', 'iso_639_1': 'en', 'name': 'english'}]",released,first love meets new love.,false,6.6,60
The Lost Weekend: A Love Story,https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"there’s not much lennon music heard in this doc about his affair with may pang, and given how much pang trashes his wife, yoko ono, it’s no surprise it was withheld.",the new york times,"subject: documentary films and programs;creative_works: the lost weekend: a love story (movie);persons: pang, may;persons: lennon, john;persons: ono, yoko;persons: brandstein, eve;persons: kaufman, richard s (filmmaker);persons: samuels, stuart (filmmaker);subject: content type: personal profile;subject: pop and rock music;",2023-04-13t11:00:03+0000,327,‘the lost weekend: a love story’ review: when john lennon strayed,none,none,the lost weekend:  a love story,none,none,none,by glenn kenny,none,false,/utevydlrhrtw57ntm3ebrpgmlzm.jpg,none,0,"[{'id': 99, 'name': 'documentary'}]",https://thelostweekendmovie.com/,965042,tt19812518,en,the lost weekend: a love story,"may pang lovingly recounts her life in rock & roll and the whirlwind 18 months spent as friend, lover, and confidante to one of the towering figures of popular culture, john lennon, in this funny, touching, and vibrant portrait of first love.",2.363,/qlboj1g3ytidugszu1y590efsmy.jpg,[],"[{'iso_3166_1': 'us', 'name': 'united states of america'}]",2023-04-13,77145,95,"[{'english_name': 'english', 'iso_639_1': 'en', 'name': 'english'}]",released,john lennon and may pang shared a weekend that lasted 18 months and a love story that took 50 years to tell.,false,6.0,2
A Thousand and One,https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,"a mesmerizing teyana taylor stars in a.v. rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",the new york times,"subject: movies;creative_works: a thousand and one (movie);persons: rockwell, av (film director);persons: taylor, teyana (1990- );",2023-03-30t18:53:42+0000,971,‘a thousand and one’ review: a new york love story,critic’s pick,none,an unbending will meets a shifting city,none,none,none,by manohla dargis,none,false,/7ntgztzqwhgbjeonawsaxvhtry4.jpg,none,0,"[{'id': 18, 'name': 'drama'}, {'id': 80, 'name': 'crime'}]",https://www.focusfeatures.com/a-thousand-and-one/,855263,tt12427158,en,a thousand and one,"struggling but unapologetically living on her own terms, inez is moving from shelter to shelter in mid-1990s new york city. with her 6-year-old son terry in foster care and unable to leave him again, she kidnaps him so they can build their life together. as the years go by, their family grows and terry becomes a smart yet quiet teenager, but the secret that has defined their lives threatens to destroy the home they have so improbably built.",19.685,/yw97mlbddoeiw17zusf2iwvomkr.jpg,"[{'id': 99963, 'logo_path': '/wi5jp4jpvbeb9qk97nhickmurnz.png', 'name': 'sight unseen pictures', 'origin_country': 'us'}, {'id': 106839, 'logo_path': '/uuiorabgmuh5vysxs02bgjo92no.png', 'name': 'makeready', 'origin_country': 'us'}, {'id': 101758, 'logo_path': '/l5i9dny0bzhb5ribclpaogdlj1.png', 'name': 'hillman grad productions', 'origin_country': 'us'}]","[{'iso_3166_1': 'us', 'name': 'united states of america'}]",2023-03-31,3395595,116,"[{'english_name': 'english', 'iso_639_1': 'en', 'name': 'english'}, {'english_name': 'portuguese', 'iso_639_1': 'pt', 'name': 'português'}, {'english_name': 'spanish', 'iso_639_1': 'es', 'name': 'español'}]",released,times change. love stays the same.,false,7.0,71
Your Place or Mine,https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,this humdrum netflix romantic comedy features reese witherspoon and ashton kutcher as longtime friends with possibly hidden feelings for each other.,the new york times,"subject: movies;creative_works: your place or mine (movie);persons: witherspoon, reese;persons: kutcher, ashton;persons: mckenna, aline brosh;",2023-02-10t00:00:05+0000,569,‘your place or mine’ review: try neither,none,none,they have a humdrum kind of love,none,none,none,by amy nicholson,none,false,/u6hek9nl6p2maksxhf613lohufm.jpg,none,0,"[{'id': 10749, 'name': 'romance'}, {'id': 35, 'name': 'comedy'}]",https://www.netflix.com/title/81045831,703451,tt12823454,en,your place or mine,"when best friends and total opposites debbie and peter swap homes for a week, they get a peek into each other's lives that could open the door to love.",32.627,/3offy1hpzjdlrzkscbf2sa5mb9u.jpg,"[{'id': 105382, 'logo_path': '/b94syzp4yuqi3dqiunwnfrmxln.png', 'name': 'hello sunshine', 'origin_country': 'us'}, {'id': 37361, 'logo_path': '/xpbunxnrmeek1ynbqvnhp8zovkw.png', 'name': 'aggregate films', 'origin_country': 'us'}, {'id': 133810, 'logo_path': none, 'name': 'lean machine', 'origin_country': ''}]","[{'iso_3166_1': 'us', 'name': 'united states of america'}]",2023-02-10,0,109,"[{'english_name': 'english', 'iso_639_1': 'en', 'name': 'english'}]",released,two lives. two cities. one last chance.,false,6.3,663
Love in the Time of Fentanyl,https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,"to combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",the new york times,"subject: documentary films and programs;subject: fentanyl;subject: drug abuse and traffic;subject: volunteers and community service;creative_works: love in the time of fentanyl (movie);persons: askey, colin;glocations: vancouver (british columbia);organizations: overdose prevention society;",2023-02-02t12:00:11+0000,306,"‘love in the time of fentanyl’ review: heartbreak, death and hope in vancouver",none,none,love in the time of fentanyl,none,none,none,by concepción de león,none,false,/le8xquvraf5uiua8pzbxxdp2vph.jpg,none,0,"[{'id': 99, 'name': 'documentary'}]",,976653,tt20236978,en,love in the time of fentanyl,an intimate portrait of a community fighting to save lives and keep hope alive in a neighborhood ravaged by the overdose crisis.,2.097,/rsahu53e2wghzzx2oixnzxr3q09.jpg,"[{'id': 10943, 'logo_path': '/9jd9rfyrapppcz7rpqp5khrwfah.png', 'name': 'itvs', 'origin_country': 'us'}, {'id': 84895, 'logo_path': none, 'name': 'lost time media', 'origin_country': ''}]","[{'iso_3166_1': 'ca', 'name': 'canada'}, {'iso_3166_1': 'us', 'name': 'united states of america'}]",2023-02-03,0,85,"[{'english_name': 'english', 'iso_639_1': 'en', 'name': 'english'}]",released,,false,0.0,0
After Love,https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"in this intelligent melodrama by the director aleem khan, a british woman discovers her husband has been leading a double life.",the new york times,"subject: movies;creative_works: after love (2020) (movie);persons: khan, aleem;persons: scanlan, joanna (1961- );",2023-01-19t12:00:06+0000,359,‘after love’ review: the other woman,critic’s pick,none,after love,none,none,none,by beatrice loayza,none,false,/xgxdy4puoffylcrfsumqt9xulfr.jpg,none,0,"[{'id': 18, 'name': 'drama'}]",,714011,tt10692788,en,after love,"set in the port town of dover in the south-east of england, mary hussain suddenly finds herself a widow following the unexpected death of her husband. a day after the burial, she discovers he has a secret just twenty-one miles across the english channel in calais.",9.519,/mxang69iwes0qsj4ajxcvcxuwkw.jpg,"[{'id': 10441, 'logo_path': '/atewjhn8l51ix2yctxxzr92waxy.png', 'name': 'the bureau', 'origin_country': 'gb'}, {'id': 288, 'logo_path': '/aw0ipm9d4zjj978eqgdvsxxxhtj.png', 'name': 'bbc film', 'origin_country': 'gb'}, {'id': 7281, 'logo_path': '/lkqiuaktm2sg3umwtbscmqyzlx5.png', 'name': 'bfi', 'origin_country': 'gb'}]","[{'iso_3166_1': 'gb', 'name': 'united kingdom'}]",2021-06-04,0,89,"[{'english_name': 'english', 'iso_639_1': 'en', 'name': 'english'}, {'english_name': 'arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'french', 'iso_639_1': 'fr', 'name': 'français'}, {'english_name': 'urdu', 'iso_639_1': 'ur', 'name': 'اردو'}]",released,,false,7.271,96
Alcarràs,https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"in this naturalistic drama from spain, a family confronts the impending loss of its generations-old farm.",the new york times,"subject: movies;persons: simon, carla;creative_works: alcarras (movie);",2023-01-05t12:00:03+0000,306,‘alcarràs’ review: labor of love,none,none,alcarràs,none,none,none,by devika girish,none,false,/5sl6gehjvo0v2lgylccghtkuuzk.jpg,none,0,"[{'id': 18, 'name': 'drama'}]",https://www.alcarras-film.com/,804251,tt11930126,ca,alcarràs,"in a small village in catalonia, the peach farmers of the solé family spend every summer together picking fruit from their orchard. but when plans arise to install solar panels and cut down trees, the members of this tight-knit group suddenly face eviction – and the loss of far more than their home.",13.109,/sbfvjzavd7a7n2aheutoyrqtako.jpg,"[{'id': 26174, 'logo_path': '/zxj7grtt7yw8pcaszm0wfefy634.png', 'name': 'avalon', 'origin_country': 'es'}, {'id': 118930, 'logo_path': '/lrbrue7hogl1bzplmlibnbiybi3.png', 'name': 'vilaüt films', 'origin_country': 'es'}, {'id': 94506, 'logo_path': '/pstfyftd439qiccioycpg3lvvau.png', 'name': 'kino produzioni', 'origin_country': 'it'}]","[{'iso_3166_1': 'es', 'name': 'spain'}]",2022-04-29,0,120,"[{'english_name': 'catalan', 'iso_639_1': 'ca', 'name': 'català'}]",released,"for every family, there is a season.",false,6.911,163
The Sound of Christmas,https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,a young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,the new york times,"subject: movies;persons: ne-yo;creative_works: the sound of christmas (movie);persons: mattison, booker t;persons: mcneill, serayah;",2022-11-23t15:00:09+0000,277,‘the sound of christmas’ review: a gospel singer finds love,none,none,the sound  of christmas,none,none,none,by concepción de león,none,false,none,none,0,"[{'id': 10770, 'name': 'tv movie'}, {'id': 18, 'name': 'drama'}]",,1035923,tt18949684,en,the sound of christmas,a woman facing eviction just before christmas who must navigate budding romantic feelings for a handsome billionaire when she takes a job nannying for his two children right before christmas.,1.663,/1ci8mmmifzuldhvwkpzlbqacmlu.jpg,"[{'id': 120832, 'logo_path': none, 'name': 'megamind media', 'origin_country': ''}]","[{'iso_3166_1': 'us', 'name': 'united states of america'}]",2022-11-24,0,0,"[{'english_name': 'english', 'iso_639_1': 'en', 'name': 'english'}]",released,,false,8.0,4
The Inspection,https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"elegance bratton’s autobiographical first feature is a lyrical, wrenching look at a young marine’s journey through basic training.",the new york times,"subject: movies;creative_works: the inspection (movie);persons: bratton, elegance;",2022-11-17t12:00:07+0000,836,"‘the inspection’ review: boot camp, a love story",critic’s pick,none,"a few good men, some with secrets",none,none,none,by a.o. scott,none,false,/llaeflqnsz11zg3ltsczd3ynlad.jpg,none,0,"[{'id': 18, 'name': 'drama'}]",https://a24films.com/films/inspection,837938,tt13495458,en,the inspection,"ellis french is a young, gay black man, rejected by his mother and with few options for his future, decides to join the marines, doing whatever it takes to succeed in a system that would cast him aside. but even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life.",9.346,/pvx7twlxvdkd4jbdeaq7w459ziy.jpg,"[{'id': 158453, 'logo_path': none, 'name': 'freedom principle', 'origin_country': ''}, {'id': 35562, 'logo_path': '/we4mjcc6mwffvy5xo2lpjt3wyaf.png', 'name': 'gamechanger films', 'origin_country': 'us'}]","[{'iso_3166_1': 'us', 'name': 'united states of america'}]",2022-11-18,0,95,"[{'english_name': 'arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'spanish', 'iso_639_1': 'es', 'name': 'español'}, {'english_name': 'english', 'iso_639_1': 'en', 'name': 'english'}]",released,,false,6.347,50
